idade,renda_anual,situacao_moradia,tempo_emprego_anos,motivo_emprestimo,nota_risco,valor_emprestimo,taxa_juros,inadimplencia,comprometimento_renda%,historico_inadimplencia,anos_historico_credito,renda_mensal,faixa_etaria
23,55000,Própria,6,Saúde,C,18500,13.16,Não Inadimplente,0.34,N,4,4583,Até 25 anos
23,42996,Aluguel,7,Empreendimento,A,7200,8.0,Não Inadimplente,0.17,N,2,3583,Até 25 anos
24,55000,Financiada,2,Reforma,A,8000,8.0,Não Inadimplente,0.15,N,2,4583,Até 25 anos
24,43200,Aluguel,8,Saúde,C,7200,13.49,Não Inadimplente,0.17,S,4,3600,Até 25 anos
24,55000,Financiada,2,Empreendimento,A,6000,8.0,Não Inadimplente,0.11,N,2,4583,Até 25 anos
26,55000,Financiada,2,Reforma,B,8500,12.21,Não Inadimplente,0.15,N,2,4583,26-35 anos
24,45000,Aluguel,3,Consolidação de Dividas,B,7200,10.65,Não Inadimplente,0.16,N,4,3750,Até 25 anos
21,45000,Aluguel,3,Pessoal,A,7200,9.38,Não Inadimplente,0.16,N,4,3750,Até 25 anos
22,39000,Aluguel,0,Reforma,B,7200,9.45,Inadimplente,0.18,N,3,3250,Até 25 anos
25,46000,Aluguel,5,Consolidação de Dividas,C,7200,14.098848653667595,Não Inadimplente,0.16,S,3,3833,Até 25 anos
22,48000,Aluguel,5,Educação,B,7200,12.42,Não Inadimplente,0.15,N,4,4000,Até 25 anos
23,48000,Aluguel,7,Pessoal,C,7200,14.27,Não Inadimplente,0.15,S,3,4000,Até 25 anos
23,48000,Aluguel,7,Pessoal,B,7200,11.71,Não Inadimplente,0.15,N,2,4000,Até 25 anos
25,55000,Financiada,2,Educação,E,14000,15.68,Não Inadimplente,0.25,S,4,4583,Até 25 anos
22,48000,Aluguel,7,Pessoal,B,7200,12.69,Não Inadimplente,0.15,N,2,4000,Até 25 anos
22,48000,Aluguel,1,Saúde,B,7200,9.62,Não Inadimplente,0.15,N,4,4000,Até 25 anos
22,49000,Financiada,6,Educação,A,10000,8.0,Inadimplente,0.2,N,2,4083,Até 25 anos
25,48000,Aluguel,6,Consolidação de Dividas,B,7200,11.36,Não Inadimplente,0.15,N,3,4000,Até 25 anos
24,55000,Financiada,8,Pessoal,D,15000,14.098848653667595,Não Inadimplente,0.27,S,3,4583,Até 25 anos
24,55000,Financiada,4,Consolidação de Dividas,C,1600,13.79,Não Inadimplente,0.03,N,2,4583,Até 25 anos
24,49920,Aluguel,0,Saúde,C,7200,13.06,Não Inadimplente,0.14,S,3,4160,Até 25 anos
23,55000,Outros,5,Empreendimento,A,4000,9.32,Não Inadimplente,0.07,N,2,4583,Até 25 anos
24,50000,Aluguel,0,Empreendimento,B,7200,11.71,Não Inadimplente,0.14,N,2,4167,Até 25 anos
22,50000,Aluguel,6,Consolidação de Dividas,B,7200,9.83738138593829,Não Inadimplente,0.14,N,4,4167,Até 25 anos
22,49000,Financiada,2,Empreendimento,C,5000,11.28,Inadimplente,0.1,S,4,4083,Até 25 anos
25,50000,Aluguel,2,Pessoal,A,7200,8.49,Não Inadimplente,0.14,N,2,4167,Até 25 anos
25,50000,Aluguel,5,Saúde,A,7200,7.29,Não Inadimplente,0.14,N,4,4167,Até 25 anos
24,50004,Aluguel,4,Consolidação de Dividas,C,7200,12.84,Não Inadimplente,0.14,S,3,4167,Até 25 anos
25,55000,Financiada,9,Empreendimento,C,3600,11.34,Não Inadimplente,0.07,S,4,4583,Até 25 anos
24,49000,Outros,1,Pessoal,C,20000,11.34,Inadimplente,0.41,S,4,4083,Até 25 anos
23,55000,Financiada,7,Consolidação de Dividas,B,15000,9.2,Não Inadimplente,0.27,N,4,4583,Até 25 anos
25,52000,Aluguel,3,Educação,B,7200,12.69,Não Inadimplente,0.14,N,3,4333,Até 25 anos
24,55000,Financiada,1,Reforma,A,5275,8.07,Não Inadimplente,0.1,N,4,4583,Até 25 anos
24,54600,Aluguel,2,Educação,C,7200,12.53,Não Inadimplente,0.13,N,2,4550,Até 25 anos
23,55004,Financiada,4,Educação,D,9600,14.74,Não Inadimplente,0.17,S,2,4584,Até 25 anos
25,54990,Aluguel,4,Consolidação de Dividas,C,7200,15.27,Não Inadimplente,0.13,S,3,4582,Até 25 anos
23,55008,Própria,5,Saúde,C,10500,13.16,Não Inadimplente,0.19,S,4,4584,Até 25 anos
24,54996,Aluguel,8,Educação,B,7200,9.83738138593829,Não Inadimplente,0.13,N,3,4583,Até 25 anos
22,54996,Aluguel,5,Consolidação de Dividas,A,7200,7.66,Não Inadimplente,0.13,N,2,4583,Até 25 anos
25,55000,Aluguel,1,Saúde,A,7200,7.9,Não Inadimplente,0.13,N,2,4583,Até 25 anos
25,49700,Aluguel,2,Pessoal,B,7200,10.38,Inadimplente,0.14,N,2,4142,Até 25 anos
23,50000,Aluguel,7,Saúde,D,7200,17.58,Inadimplente,0.14,S,2,4167,Até 25 anos
23,51000,Aluguel,3,Consolidação de Dividas,E,7200,14.67,Inadimplente,0.14,N,3,4250,Até 25 anos
22,59000,Aluguel,2,Educação,A,7200,8.0,Não Inadimplente,0.12,N,3,4917,Até 25 anos
24,55152,Financiada,8,Pessoal,B,16000,11.49,Não Inadimplente,0.29,N,2,4596,Até 25 anos
24,60000,Aluguel,2,Empreendimento,A,7200,8.49,Não Inadimplente,0.12,N,2,5000,Até 25 anos
25,55200,Financiada,5,Educação,B,4225,12.42,Não Inadimplente,0.08,N,2,4600,Até 25 anos
26,60000,Aluguel,0,Empreendimento,B,7200,11.14,Não Inadimplente,0.12,N,2,5000,26-35 anos
25,60000,Aluguel,3,Reforma,C,7200,13.48,Não Inadimplente,0.12,S,4,5000,Até 25 anos
22,60000,Aluguel,0,Educação,C,7200,12.87,Não Inadimplente,0.12,S,3,5000,Até 25 anos
22,49200,Financiada,6,Saúde,C,6500,12.68,Inadimplente,0.13,S,2,4100,Até 25 anos
23,60000,Aluguel,5,Educação,C,7200,13.22,Não Inadimplente,0.12,N,4,5000,Até 25 anos
21,55200,Financiada,5,Empreendimento,A,8900,6.17,Não Inadimplente,0.16,N,2,4600,Até 25 anos
23,60036,Aluguel,7,Saúde,B,7200,9.91,Não Inadimplente,0.12,N,4,5003,Até 25 anos
24,49200,Financiada,8,Saúde,E,2500,12.118277554663097,Inadimplente,0.05,N,2,4100,Até 25 anos
21,60675,Aluguel,5,Pessoal,C,7200,14.72,Não Inadimplente,0.12,S,2,5056,Até 25 anos
21,61490,Aluguel,5,Educação,B,7200,10.99,Não Inadimplente,0.12,N,3,5124,Até 25 anos
23,55200,Financiada,2,Consolidação de Dividas,B,2000,11.86,Não Inadimplente,0.04,N,3,4600,Até 25 anos
23,55200,Financiada,7,Educação,B,4000,10.08,Não Inadimplente,0.07,N,4,4600,Até 25 anos
25,63000,Aluguel,9,Educação,A,7200,7.88,Não Inadimplente,0.11,N,3,5250,Até 25 anos
23,64000,Aluguel,0,Saúde,C,7200,15.96,Não Inadimplente,0.11,N,3,5333,Até 25 anos
26,55316,Própria,10,Reforma,A,6000,5.42,Não Inadimplente,0.11,N,3,4610,26-35 anos
25,67500,Aluguel,2,Educação,A,7200,7.88,Não Inadimplente,0.11,N,4,5625,Até 25 anos
24,55400,Financiada,8,Empreendimento,A,11000,7.29,Não Inadimplente,0.2,N,3,4617,Até 25 anos
23,62000,Aluguel,3,Educação,A,7200,7.9,Inadimplente,0.12,N,3,5167,Até 25 anos
23,68400,Aluguel,7,Educação,C,7200,14.72,Não Inadimplente,0.11,N,2,5700,Até 25 anos
26,49493,Financiada,6,Empreendimento,C,15250,13.11,Inadimplente,0.31,S,3,4124,26-35 anos
25,71604,Aluguel,0,Educação,B,7200,10.95,Não Inadimplente,0.1,N,4,5967,Até 25 anos
22,75000,Aluguel,2,Empreendimento,C,7200,13.61,Não Inadimplente,0.1,N,4,6250,Até 25 anos
22,55500,Financiada,6,Saúde,A,3000,7.37,Não Inadimplente,0.05,N,2,4625,Até 25 anos
24,55530,Financiada,8,Reforma,A,8000,5.99,Não Inadimplente,0.14,N,4,4628,Até 25 anos
21,55530,Financiada,5,Educação,A,3200,6.62,Não Inadimplente,0.06,N,4,4628,Até 25 anos
23,49530,Financiada,7,Consolidação de Dividas,D,16000,14.54,Inadimplente,0.32,S,2,4128,Até 25 anos
26,76668,Aluguel,10,Educação,A,7200,9.63,Não Inadimplente,0.09,N,3,6389,26-35 anos
23,80000,Aluguel,3,Consolidação de Dividas,A,7200,8.9,Não Inadimplente,0.09,N,2,6667,Até 25 anos
23,80500,Aluguel,5,Consolidação de Dividas,B,7200,9.25,Não Inadimplente,0.09,N,4,6708,Até 25 anos
21,84000,Aluguel,5,Empreendimento,A,7200,8.49,Não Inadimplente,0.09,N,2,7000,Até 25 anos
24,55600,Financiada,2,Reforma,C,11700,13.57,Não Inadimplente,0.21,S,2,4633,Até 25 anos
24,55605,Financiada,8,Saúde,B,6500,10.99,Não Inadimplente,0.12,N,2,4634,Até 25 anos
23,49635,Financiada,6,Pessoal,A,12000,7.29,Inadimplente,0.24,N,3,4136,Até 25 anos
24,55680,Financiada,4,Consolidação de Dividas,B,7875,10.65,Não Inadimplente,0.14,N,3,4640,Até 25 anos
25,73000,Aluguel,2,Pessoal,D,7200,14.96,Inadimplente,0.1,N,3,6083,Até 25 anos
25,88500,Aluguel,3,Consolidação de Dividas,C,7200,13.47,Não Inadimplente,0.08,N,3,7375,Até 25 anos
25,55800,Financiada,9,Saúde,C,3500,14.17,Não Inadimplente,0.06,S,3,4650,Até 25 anos
25,55800,Financiada,1,Pessoal,B,4000,10.75,Não Inadimplente,0.07,N,2,4650,Até 25 anos
24,55800,Financiada,0,Empreendimento,A,3200,7.68,Não Inadimplente,0.06,N,3,4650,Até 25 anos
23,55812,Financiada,4,Saúde,B,21825,11.36,Não Inadimplente,0.39,N,2,4651,Até 25 anos
26,90000,Aluguel,1,Consolidação de Dividas,B,7200,9.91,Não Inadimplente,0.08,N,2,7500,26-35 anos
26,55900,Financiada,5,Pessoal,C,18200,14.26,Não Inadimplente,0.33,N,4,4658,26-35 anos
25,49963,Financiada,9,Educação,B,2100,11.49,Inadimplente,0.04,N,3,4164,Até 25 anos
23,49980,Financiada,7,Saúde,B,4800,10.37,Inadimplente,0.1,N,2,4165,Até 25 anos
24,56000,Financiada,8,Consolidação de Dividas,A,12000,9.83738138593829,Não Inadimplente,0.21,N,3,4667,Até 25 anos
23,93000,Aluguel,1,Consolidação de Dividas,A,7200,6.92,Não Inadimplente,0.08,N,2,7750,Até 25 anos
23,105000,Aluguel,7,Pessoal,B,7200,11.71,Não Inadimplente,0.07,N,4,8750,Até 25 anos
22,56000,Financiada,3,Educação,D,10075,16.29,Não Inadimplente,0.18,S,4,4667,Até 25 anos
25,56000,Financiada,5,Pessoal,C,10250,14.65,Não Inadimplente,0.18,S,4,4667,Até 25 anos
26,111000,Aluguel,1,Reforma,B,7200,12.18,Não Inadimplente,0.06,N,3,9250,26-35 anos
26,56000,Financiada,9,Reforma,B,10000,12.42,Não Inadimplente,0.18,N,2,4667,26-35 anos
23,56000,Financiada,7,Empreendimento,A,7200,6.03,Não Inadimplente,0.13,N,2,4667,Até 25 anos
24,56000,Financiada,8,Saúde,A,12250,6.03,Não Inadimplente,0.22,N,4,4667,Até 25 anos
25,135000,Aluguel,6,Reforma,B,7200,9.91,Não Inadimplente,0.05,N,3,11250,Até 25 anos
25,149000,Aluguel,9,Saúde,A,7200,9.83738138593829,Não Inadimplente,0.05,N,2,12417,Até 25 anos
25,62467,Aluguel,1,Reforma,B,7250,10.65,Não Inadimplente,0.12,N,4,5206,Até 25 anos
26,56000,Financiada,2,Consolidação de Dividas,C,6000,15.23,Não Inadimplente,0.11,N,4,4667,26-35 anos
24,80000,Aluguel,6,Empreendimento,A,7250,5.42,Não Inadimplente,0.09,N,2,6667,Até 25 anos
24,56000,Própria,8,Empreendimento,A,2000,6.99,Não Inadimplente,0.04,N,3,4667,Até 25 anos
25,26729,Aluguel,5,Saúde,B,7300,11.14,Não Inadimplente,0.27,N,3,2227,Até 25 anos
23,56000,Financiada,4,Consolidação de Dividas,C,13600,15.23,Não Inadimplente,0.24,S,4,4667,Até 25 anos
24,56000,Financiada,3,Empreendimento,B,2000,10.99,Não Inadimplente,0.04,N,4,4667,Até 25 anos
24,56000,Financiada,4,Reforma,C,19125,13.99,Não Inadimplente,0.34,S,3,4667,Até 25 anos
25,50000,Financiada,6,Pessoal,A,12800,7.49,Inadimplente,0.26,N,4,4167,Até 25 anos
22,56000,Financiada,4,Saúde,B,9000,10.59,Não Inadimplente,0.16,N,2,4667,Até 25 anos
26,37086,Aluguel,7,Consolidação de Dividas,A,7300,7.88,Não Inadimplente,0.2,N,4,3090,26-35 anos
23,38000,Aluguel,1,Saúde,A,7300,9.83738138593829,Não Inadimplente,0.19,N,2,3167,Até 25 anos
24,56000,Financiada,3,Educação,A,15000,8.49,Não Inadimplente,0.27,N,2,4667,Até 25 anos
26,41400,Aluguel,5,Consolidação de Dividas,B,7300,9.45,Não Inadimplente,0.18,N,4,3450,26-35 anos
24,56000,Financiada,8,Educação,A,10000,7.49,Não Inadimplente,0.18,N,3,4667,Até 25 anos
22,45999,Aluguel,1,Empreendimento,A,7300,7.88,Não Inadimplente,0.16,N,2,3833,Até 25 anos
23,50000,Financiada,7,Saúde,D,7500,15.62,Inadimplente,0.15,N,3,4167,Até 25 anos
25,56000,Financiada,4,Educação,A,5000,5.42,Não Inadimplente,0.09,N,3,4667,Até 25 anos
25,56000,Financiada,9,Empreendimento,B,12375,11.49,Não Inadimplente,0.22,N,4,4667,Até 25 anos
21,50000,Aluguel,4,Educação,B,7300,11.71,Não Inadimplente,0.15,N,3,4167,Até 25 anos
24,56000,Financiada,2,Educação,C,5250,12.87,Não Inadimplente,0.09,N,2,4667,Até 25 anos
24,56000,Financiada,5,Saúde,A,17400,5.99,Não Inadimplente,0.31,N,2,4667,Até 25 anos
25,53600,Aluguel,1,Educação,A,7300,8.0,Não Inadimplente,0.14,N,4,4467,Até 25 anos
23,96000,Aluguel,7,Educação,A,7300,8.49,Não Inadimplente,0.08,N,4,8000,Até 25 anos
23,56000,Financiada,4,Empreendimento,A,6000,5.99,Não Inadimplente,0.11,N,2,4667,Até 25 anos
22,56000,Financiada,3,Consolidação de Dividas,B,20000,10.99,Não Inadimplente,0.36,N,4,4667,Até 25 anos
23,42000,Aluguel,1,Empreendimento,B,7325,12.69,Não Inadimplente,0.17,N,3,3500,Até 25 anos
24,12480,Aluguel,1,Empreendimento,A,7350,6.92,Inadimplente,0.59,N,2,1040,Até 25 anos
25,32500,Aluguel,5,Saúde,C,7350,13.43,Não Inadimplente,0.23,S,3,2708,Até 25 anos
24,33000,Aluguel,1,Saúde,B,7350,11.71,Não Inadimplente,0.22,N,3,2750,Até 25 anos
23,56000,Própria,7,Educação,B,20000,9.83738138593829,Não Inadimplente,0.36,N,3,4667,Até 25 anos
23,42000,Aluguel,4,Educação,B,7400,9.83738138593829,Não Inadimplente,0.18,N,3,3500,Até 25 anos
25,42000,Aluguel,0,Educação,E,7400,16.32,Inadimplente,0.18,N,4,3500,Até 25 anos
24,43995,Aluguel,4,Pessoal,C,7400,13.99,Inadimplente,0.17,S,4,3666,Até 25 anos
21,56000,Financiada,6,Saúde,B,5600,10.37,Não Inadimplente,0.1,N,4,4667,Até 25 anos
25,57996,Aluguel,5,Educação,B,7400,10.36,Não Inadimplente,0.13,N,2,4833,Até 25 anos
25,62000,Aluguel,0,Consolidação de Dividas,A,7400,6.99,Não Inadimplente,0.12,N,2,5167,Até 25 anos
26,56000,Financiada,10,Educação,A,6000,5.42,Não Inadimplente,0.11,N,4,4667,26-35 anos
24,72000,Aluguel,5,Educação,D,7400,15.65,Não Inadimplente,0.1,S,3,6000,Até 25 anos
26,56000,Financiada,10,Educação,C,15000,14.35,Não Inadimplente,0.27,N,2,4667,26-35 anos
22,34359,Aluguel,6,Educação,A,7475,9.63,Não Inadimplente,0.22,N,2,2863,Até 25 anos
21,12720,Aluguel,1,Educação,A,7500,7.05,Inadimplente,0.59,N,4,1060,Até 25 anos
23,56000,Financiada,4,Educação,A,3000,6.76,Não Inadimplente,0.05,N,3,4667,Até 25 anos
24,56000,Própria,8,Educação,B,2000,11.49,Não Inadimplente,0.04,N,2,4667,Até 25 anos
22,56000,Financiada,6,Pessoal,A,4750,7.14,Não Inadimplente,0.08,N,2,4667,Até 25 anos
24,20796,Aluguel,2,Empreendimento,A,7500,7.88,Inadimplente,0.36,N,3,1733,Até 25 anos
23,56000,Financiada,6,Consolidação de Dividas,A,5500,7.51,Não Inadimplente,0.1,N,4,4667,Até 25 anos
22,56000,Financiada,5,Saúde,B,12000,10.99,Não Inadimplente,0.21,N,2,4667,Até 25 anos
23,21000,Aluguel,6,Consolidação de Dividas,A,7500,6.91,Inadimplente,0.36,N,4,1750,Até 25 anos
23,56000,Própria,2,Saúde,B,15000,10.62,Não Inadimplente,0.27,N,3,4667,Até 25 anos
23,21360,Aluguel,0,Pessoal,A,7500,7.14,Inadimplente,0.35,N,3,1780,Até 25 anos
25,21500,Aluguel,2,Saúde,C,7500,11.34,Inadimplente,0.35,N,2,1792,Até 25 anos
22,22596,Aluguel,4,Saúde,B,7500,9.76,Inadimplente,0.33,N,4,1883,Até 25 anos
24,23196,Aluguel,1,Educação,D,7500,13.24,Inadimplente,0.32,N,2,1933,Até 25 anos
25,24996,Aluguel,3,Educação,C,7500,12.98,Não Inadimplente,0.3,S,3,2083,Até 25 anos
26,56000,Financiada,0,Reforma,B,8000,11.14,Não Inadimplente,0.14,N,4,4667,26-35 anos
22,25000,Aluguel,0,Pessoal,A,7500,7.51,Não Inadimplente,0.3,N,4,2083,Até 25 anos
24,56000,Financiada,5,Empreendimento,A,13000,8.94,Não Inadimplente,0.23,N,3,4667,Até 25 anos
22,25200,Aluguel,7,Saúde,D,7500,14.96,Inadimplente,0.3,N,3,2100,Até 25 anos
26,26000,Aluguel,2,Pessoal,B,7500,12.18,Não Inadimplente,0.29,N,2,2167,26-35 anos
23,56000,Financiada,1,Saúde,A,10000,8.59,Não Inadimplente,0.18,N,3,4667,Até 25 anos
23,56000,Financiada,7,Pessoal,F,13750,18.43,Não Inadimplente,0.25,N,2,4667,Até 25 anos
23,26400,Aluguel,8,Empreendimento,C,7500,12.73,Não Inadimplente,0.28,N,4,2200,Até 25 anos
21,27600,Aluguel,4,Educação,A,7500,6.76,Não Inadimplente,0.27,N,4,2300,Até 25 anos
25,28128,Aluguel,2,Educação,D,7500,15.33,Inadimplente,0.27,S,3,2344,Até 25 anos
21,30000,Aluguel,5,Empreendimento,B,7500,9.99,Não Inadimplente,0.25,N,4,2500,Até 25 anos
23,30000,Aluguel,3,Consolidação de Dividas,B,7500,9.83738138593829,Não Inadimplente,0.25,N,4,2500,Até 25 anos
24,30000,Aluguel,8,Educação,A,7500,5.79,Não Inadimplente,0.25,N,2,2500,Até 25 anos
23,56000,Financiada,7,Pessoal,B,4500,11.83,Não Inadimplente,0.08,N,4,4667,Até 25 anos
26,56000,Financiada,11,Saúde,B,12000,11.89,Não Inadimplente,0.21,N,3,4667,26-35 anos
21,30000,Aluguel,5,Educação,B,7500,11.83,Não Inadimplente,0.25,N,4,2500,Até 25 anos
26,30000,Aluguel,1,Pessoal,E,7500,14.75,Inadimplente,0.25,N,3,2500,26-35 anos
23,30000,Aluguel,1,Pessoal,D,7500,13.24,Inadimplente,0.25,S,3,2500,Até 25 anos
23,56000,Financiada,3,Saúde,C,7500,13.79,Não Inadimplente,0.13,S,3,4667,Até 25 anos
21,30028,Aluguel,5,Saúde,B,7500,10.75,Não Inadimplente,0.25,N,4,2502,Até 25 anos
22,31200,Aluguel,3,Pessoal,B,7500,9.91,Não Inadimplente,0.24,N,4,2600,Até 25 anos
22,31875,Aluguel,3,Educação,C,7500,13.11,Não Inadimplente,0.24,N,2,2656,Até 25 anos
26,32000,Aluguel,1,Saúde,C,7500,13.79,Não Inadimplente,0.23,S,3,2667,26-35 anos
22,33000,Aluguel,2,Educação,B,7500,9.83738138593829,Não Inadimplente,0.23,N,4,2750,Até 25 anos
26,34000,Aluguel,5,Consolidação de Dividas,A,7500,7.9,Inadimplente,0.22,N,3,2833,26-35 anos
23,56004,Financiada,0,Educação,C,10000,13.61,Não Inadimplente,0.18,N,4,4667,Até 25 anos
22,56004,Financiada,6,Saúde,B,6000,11.86,Não Inadimplente,0.11,N,3,4667,Até 25 anos
22,56004,Financiada,6,Saúde,A,6000,7.88,Não Inadimplente,0.11,N,4,4667,Até 25 anos
22,56004,Própria,5,Educação,C,12000,13.98,Não Inadimplente,0.21,N,3,4667,Até 25 anos
22,56004,Financiada,6,Consolidação de Dividas,A,2000,7.51,Não Inadimplente,0.04,N,4,4667,Até 25 anos
22,34404,Aluguel,2,Reforma,D,7500,15.05,Inadimplente,0.22,N,2,2867,Até 25 anos
26,56004,Financiada,10,Educação,C,20000,13.57,Não Inadimplente,0.36,S,4,4667,26-35 anos
26,56004,Financiada,3,Educação,A,13000,8.59,Não Inadimplente,0.23,N,3,4667,26-35 anos
26,56004,Própria,2,Saúde,A,10000,9.32,Não Inadimplente,0.18,N,3,4667,26-35 anos
23,34780,Aluguel,5,Pessoal,D,7500,12.61,Não Inadimplente,0.22,N,4,2898,Até 25 anos
25,35000,Aluguel,2,Consolidação de Dividas,B,7500,10.99,Não Inadimplente,0.21,N,2,2917,Até 25 anos
21,29004,Aluguel,0,Saúde,D,7500,15.190242179616549,Inadimplente,0.26,S,2,2417,Até 25 anos
24,50160,Financiada,2,Educação,D,6000,15.62,Inadimplente,0.12,N,2,4180,Até 25 anos
23,56160,Financiada,2,Pessoal,B,3050,10.59,Não Inadimplente,0.05,N,2,4680,Até 25 anos
25,36000,Aluguel,0,Consolidação de Dividas,C,7500,13.49,Não Inadimplente,0.21,N,4,3000,Até 25 anos
26,36000,Aluguel,10,Empreendimento,B,7500,10.59,Não Inadimplente,0.21,N,3,3000,26-35 anos
26,30320,Aluguel,2,Pessoal,B,7500,12.18,Inadimplente,0.25,N,3,2527,26-35 anos
22,56368,Financiada,5,Educação,C,6000,12.99,Não Inadimplente,0.11,N,2,4697,Até 25 anos
22,36750,Aluguel,6,Educação,D,7500,14.84,Não Inadimplente,0.2,N,3,3062,Até 25 anos
25,50400,Financiada,9,Consolidação de Dividas,D,12000,16.89,Inadimplente,0.24,N,4,4200,Até 25 anos
22,56400,Financiada,6,Educação,D,17300,15.62,Não Inadimplente,0.31,N,4,4700,Até 25 anos
21,56400,Própria,5,Empreendimento,A,5000,6.54,Não Inadimplente,0.09,N,2,4700,Até 25 anos
23,56400,Financiada,4,Educação,B,4000,11.49,Não Inadimplente,0.07,N,4,4700,Até 25 anos
25,37676,Aluguel,6,Pessoal,A,7500,8.32,Não Inadimplente,0.2,N,4,3140,Até 25 anos
22,38000,Aluguel,5,Pessoal,A,7500,5.79,Não Inadimplente,0.2,N,4,3167,Até 25 anos
23,38000,Aluguel,0,Saúde,A,7500,7.88,Não Inadimplente,0.2,N,4,3167,Até 25 anos
26,38400,Aluguel,10,Saúde,D,7500,17.58,Não Inadimplente,0.2,N,2,3200,26-35 anos
22,32400,Aluguel,6,Empreendimento,C,7500,14.27,Inadimplente,0.23,N,2,2700,Até 25 anos
23,56500,Financiada,7,Saúde,A,9800,9.83738138593829,Não Inadimplente,0.17,N,2,4708,Até 25 anos
23,39975,Aluguel,0,Pessoal,C,7500,14.098848653667595,Não Inadimplente,0.19,S,2,3331,Até 25 anos
22,39996,Aluguel,0,Pessoal,B,7500,11.86,Não Inadimplente,0.19,N,3,3333,Até 25 anos
23,40000,Aluguel,7,Empreendimento,B,7500,12.69,Não Inadimplente,0.19,N,2,3333,Até 25 anos
21,56532,Financiada,4,Educação,A,16000,7.88,Não Inadimplente,0.28,N,3,4711,Até 25 anos
24,56533,Financiada,4,Reforma,B,20000,11.11,Não Inadimplente,0.35,N,2,4711,Até 25 anos
23,56600,Própria,3,Saúde,B,12000,10.38,Não Inadimplente,0.21,N,2,4717,Até 25 anos
24,40000,Aluguel,1,Pessoal,A,7500,5.79,Não Inadimplente,0.19,N,4,3333,Até 25 anos
22,56650,Financiada,2,Saúde,B,6500,10.65,Não Inadimplente,0.11,N,2,4721,Até 25 anos
25,56655,Financiada,9,Empreendimento,C,20000,13.61,Não Inadimplente,0.35,N,2,4721,Até 25 anos
23,56700,Financiada,7,Educação,A,12000,5.42,Não Inadimplente,0.21,N,2,4725,Até 25 anos
26,56700,Financiada,3,Consolidação de Dividas,A,6000,9.63,Não Inadimplente,0.11,N,4,4725,26-35 anos
24,40000,Aluguel,0,Consolidação de Dividas,B,7500,11.36,Não Inadimplente,0.19,N,4,3333,Até 25 anos
26,56810,Financiada,10,Consolidação de Dividas,C,2500,14.098848653667595,Não Inadimplente,0.04,S,3,4734,26-35 anos
22,34000,Aluguel,2,Saúde,C,7500,12.53,Inadimplente,0.22,S,4,2833,Até 25 anos
25,56900,Financiada,9,Pessoal,A,25000,7.51,Não Inadimplente,0.44,N,3,4742,Até 25 anos
23,56900,Financiada,7,Saúde,B,11200,9.83738138593829,Não Inadimplente,0.2,N,3,4742,Até 25 anos
22,56902,Financiada,6,Consolidação de Dividas,A,12000,7.14,Não Inadimplente,0.21,N,4,4742,Até 25 anos
23,56996,Própria,2,Empreendimento,A,9575,9.63,Não Inadimplente,0.17,N,4,4750,Até 25 anos
22,40906,Aluguel,4,Empreendimento,B,7500,9.63,Não Inadimplente,0.18,N,2,3409,Até 25 anos
26,42000,Aluguel,0,Consolidação de Dividas,B,7500,10.25,Não Inadimplente,0.18,N,4,3500,26-35 anos
21,57000,Própria,5,Pessoal,B,8000,10.65,Não Inadimplente,0.14,N,3,4750,Até 25 anos
22,57000,Financiada,4,Educação,A,12875,7.9,Não Inadimplente,0.23,N,2,4750,Até 25 anos
24,57000,Financiada,0,Saúde,B,2400,12.69,Não Inadimplente,0.04,N,4,4750,Até 25 anos
23,42000,Aluguel,1,Pessoal,B,7500,10.33,Não Inadimplente,0.18,N,4,3500,Até 25 anos
23,36000,Aluguel,1,Pessoal,D,7500,12.61,Inadimplente,0.21,S,2,3000,Até 25 anos
22,57000,Financiada,6,Pessoal,B,11425,9.91,Não Inadimplente,0.2,N,4,4750,Até 25 anos
22,42500,Aluguel,0,Educação,A,7500,7.9,Não Inadimplente,0.18,N,2,3542,Até 25 anos
21,37260,Aluguel,1,Reforma,D,7500,14.84,Inadimplente,0.2,S,2,3105,Até 25 anos
25,57000,Financiada,5,Pessoal,A,13000,8.9,Não Inadimplente,0.23,N,2,4750,Até 25 anos
22,44000,Aluguel,0,Pessoal,A,7500,8.32,Não Inadimplente,0.17,N,3,3667,Até 25 anos
22,57000,Financiada,6,Empreendimento,B,7200,9.83738138593829,Não Inadimplente,0.13,N,2,4750,Até 25 anos
25,51000,Financiada,9,Consolidação de Dividas,D,5500,16.77,Inadimplente,0.11,S,2,4250,Até 25 anos
22,57000,Financiada,2,Saúde,C,5950,13.49,Não Inadimplente,0.1,S,3,4750,Até 25 anos
25,39000,Aluguel,9,Saúde,D,7500,15.62,Inadimplente,0.19,S,2,3250,Até 25 anos
26,57000,Financiada,6,Saúde,C,9000,12.99,Não Inadimplente,0.16,S,4,4750,26-35 anos
26,57000,Financiada,10,Empreendimento,A,14000,5.42,Não Inadimplente,0.25,N,4,4750,26-35 anos
21,57000,Financiada,5,Empreendimento,C,14400,14.098848653667595,Não Inadimplente,0.25,S,2,4750,Até 25 anos
24,57000,Financiada,8,Reforma,B,19725,9.99,Não Inadimplente,0.35,N,2,4750,Até 25 anos
23,45000,Aluguel,5,Educação,D,7500,15.37,Não Inadimplente,0.17,S,4,3750,Até 25 anos
